shipment_id,order_date,region,transport_mode,shipment_type,shipment_volume_kg,distance_km,estimated_delivery_days,actual_delivery_days,delivery_delay_days,transportation_cost,handling_cost,fuel_surcharge,total_cost,weather_condition,traffic_level,on_time_delivery,customer_rating
SHP100000,2025-01-01,South,Air,Standard,59.66,601,1.31,4.29,2.98,1721.07,178.98,183.21,2117.94,Adverse,Medium,No,3.4
SHP100001,2025-05-08,West,Road,Standard,27.43,671,13.49,14.17,0.68,322.1,82.29,28.97,400.46,Normal,Medium,No,4.8
SHP100002,2025-01-01,West,Road,Standard,37.26,760,15.2,16.43,1.23,495.56,111.78,42.07,612.55,Normal,High,No,5.0
SHP100003,2025-06-22,East,Road,Standard,38.83,479,10.05,11.08,1.03,325.49,116.49,38.75,424.12,Normal,Medium,No,4.9
SHP100004,2025-09-23,North,Road,Fragile,27.3,658,12.66,13.79,1.13,314.36,191.1,22.25,541.92,Normal,Medium,No,4.2
SHP100005,2025-10-23,North,Air,Express,59.78,1002,1.83,1.4,-0.43,2875.18,179.34,400.04,3460.28,Normal,Low,Yes,5.0
SHP100006,2025-09-13,North,Rail,Standard,34.84,698,8.31,10.33,2.02,279.66,104.52,36.39,409.97,Adverse,Low,No,3.7
SHP100007,2025-06-23,West,Road,Standard,46.54,665,13.21,11.94,-1.27,541.61,139.62,41.79,707.84,Normal,Low,Yes,5.0
SHP100008,2025-02-14,East,Road,Bulk,39.02,853,16.68,18.67,1.99,582.47,156.08,71.33,745.83,Normal,High,No,4.3
SHP100009,2025-12-09,East,Sea,Express,68.67,938,28.57,29.26,0.69,547.51,206.01,62.55,825.04,Normal,Low,No,4.3
SHP100010,2025-05-21,North,Road,Fragile,66.04,628,12.69,13.26,0.57,725.78,462.28,55.6,1232.62,Normal,Medium,No,4.5
SHP100011,2025-01-27,West,Road,Standard,44.51,501,10.66,13.6,2.94,390.24,133.53,33.01,588.14,Adverse,High,No,4.1
SHP100012,2025-08-21,West,Road,Express,70.5,721,14.13,14.03,-0.1,889.53,211.5,86.11,1192.27,Normal,Medium,Yes,5.0
SHP100013,2025-07-28,North,Air,Standard,98.94,271,1.0,1.35,0.35,1287.01,296.82,158.21,1766.75,Normal,Medium,Yes,4.7
SHP100014,2025-02-19,North,Rail,Express,14.08,579,7.6,8.17,0.57,93.75,42.24,11.01,146.75,Normal,Medium,No,4.0
SHP100015,2025-03-02,North,Road,Bulk,37.78,167,4.34,6.33,1.99,110.41,151.12,11.91,279.8,Normal,Medium,No,3.8
SHP100016,2025-08-31,South,Road,Standard,30.4,259,5.72,7.31,1.59,137.79,91.2,17.8,279.37,Normal,Medium,No,5.0
SHP100017,2025-09-26,East,Rail,Standard,35.93,238,3.55,4.62,1.07,98.34,107.79,12.61,212.01,Normal,Medium,No,5.0
SHP100018,2025-05-20,South,Rail,Standard,12.69,1156,13.85,15.15,1.3,168.7,38.07,19.5,242.79,Normal,High,No,5.0
SHP100019,2025-06-06,South,Road,Standard,13.75,655,13.14,13.6,0.46,157.61,41.25,20.62,203.96,Normal,High,Yes,4.9
SHP100020,2025-03-26,East,Sea,Standard,9.07,325,10.6,13.14,2.54,25.06,27.21,2.26,100.0,Normal,High,No,3.7
SHP100021,2025-03-25,North,Road,Standard,39.76,852,16.58,17.58,1.0,592.82,119.28,82.59,850.46,Normal,High,No,5.0
SHP100022,2025-10-03,South,Road,Fragile,39.13,1120,21.64,22.97,1.33,766.95,273.91,88.46,1151.74,Normal,Medium,No,5.0
SHP100023,2025-01-31,South,Sea,Express,106.47,860,26.12,27.02,0.9,778.3,319.41,104.3,1183.06,Normal,Medium,No,4.4
SHP100024,2025-01-08,South,Road,Standard,57.27,586,12.16,13.41,1.25,587.3,171.81,64.11,838.03,Normal,High,No,4.1
SHP100025,2025-10-07,West,Rail,Bulk,69.54,739,8.94,11.46,2.52,590.99,278.16,47.08,871.42,Adverse,Medium,No,3.2
SHP100026,2025-07-22,North,Road,Standard,285.61,1067,20.36,21.92,1.56,5333.05,856.83,580.33,6762.47,Normal,High,No,4.0
SHP100027,2025-02-02,East,Road,Bulk,14.11,502,10.97,12.46,1.49,123.96,56.44,11.58,158.6,Normal,Medium,No,4.6
SHP100028,2025-10-25,East,Sea,Standard,123.64,661,20.43,22.15,1.72,694.67,370.92,85.29,1166.7,Adverse,Medium,No,4.0
SHP100029,2025-05-23,North,Road,Bulk,51.67,564,11.66,12.33,0.67,509.98,206.68,52.44,762.49,Normal,Medium,No,5.0
SHP100030,2025-12-16,East,Sea,Express,41.58,268,9.29,10.55,1.26,94.72,124.74,12.81,242.19,Normal,High,No,5.0
SHP100031,2025-02-06,North,Road,Bulk,38.12,1076,20.81,21.06,0.25,717.8,152.48,86.87,984.25,Normal,Low,Yes,4.9
SHP100032,2025-05-27,North,Road,Bulk,63.35,2015,37.78,37.45,-0.33,2233.88,253.4,271.66,2742.83,Normal,Medium,Yes,5.0
SHP100033,2025-08-16,West,Road,Standard,41.78,402,7.81,7.41,-0.4,293.92,125.34,23.38,427.79,Normal,Medium,Yes,5.0
SHP100034,2025-02-03,West,Rail,Bulk,26.86,1104,12.8,13.69,0.89,341.01,107.44,50.67,497.83,Normal,Low,No,4.3
SHP100035,2025-08-25,West,Road,Standard,38.92,409,8.72,8.11,-0.61,278.57,116.76,37.82,403.03,Normal,Medium,Yes,5.0
SHP100036,2025-07-31,South,Air,Standard,64.33,699,1.0,1.08,0.08,2158.4,192.99,282.77,2633.77,Normal,Medium,Yes,4.7
SHP100037,2025-11-05,North,Road,Standard,76.1,1490,28.31,27.87,-0.44,1984.31,228.3,178.03,2392.09,Normal,Medium,Yes,4.7
SHP100038,2025-05-20,East,Sea,Express,130.42,488,15.61,15.64,0.03,540.98,391.26,58.54,998.79,Normal,Medium,Yes,5.0
SHP100039,2025-07-09,South,Road,Standard,55.94,645,13.14,13.42,0.28,631.42,167.82,45.68,859.6,Normal,Medium,Yes,4.7
SHP100040,2025-04-06,North,Air,Express,102.05,241,1.0,1.08,0.08,1180.51,306.15,128.04,1558.6,Normal,Medium,Yes,5.0
SHP100041,2025-07-13,South,Air,Express,47.5,451,1.33,1.0,-0.33,1028.28,142.5,75.2,1201.0,Normal,Medium,Yes,5.0
SHP100042,2025-12-27,North,Air,Fragile,51.14,228,1.15,1.7,0.55,559.68,357.98,61.44,938.24,Normal,Low,No,4.7
SHP100043,2025-10-31,West,Air,Bulk,49.66,823,1.94,3.46,1.52,1961.77,198.64,232.24,2395.89,Adverse,High,No,4.7
SHP100044,2025-10-23,South,Air,Express,59.59,1027,2.03,1.92,-0.11,2937.55,178.77,279.41,3385.78,Normal,Medium,Yes,4.6
SHP100045,2025-06-01,East,Rail,Standard,83.35,575,7.16,8.15,0.99,551.15,250.05,57.8,779.63,Normal,Medium,No,4.2
SHP100046,2025-08-11,South,Road,Standard,40.82,761,15.07,16.23,1.16,543.62,122.46,75.46,809.69,Normal,Medium,No,4.8
SHP100047,2025-07-15,East,Road,Standard,31.32,543,11.0,10.35,-0.65,297.62,93.96,20.77,342.73,Normal,Medium,Yes,4.3
SHP100048,2025-03-29,East,Sea,Standard,86.91,977,29.69,31.34,1.65,721.74,260.73,94.73,1078.27,Normal,Medium,No,4.3
SHP100049,2025-10-26,North,Rail,Standard,83.63,698,8.7,10.23,1.53,671.3,250.89,50.59,992.5,Adverse,Medium,No,4.6
SHP100050,2025-01-17,West,Air,Standard,110.6,218,1.0,1.0,0.0,1157.32,331.8,73.26,1537.19,Normal,Medium,Yes,5.0
SHP100051,2025-07-30,West,Road,Bulk,37.35,1090,21.35,22.99,1.64,712.45,149.4,54.65,938.9,Adverse,Medium,No,4.9
SHP100052,2025-08-20,West,Road,Express,46.56,525,10.67,11.11,0.44,427.77,139.68,55.12,587.28,Normal,Medium,Yes,4.7
SHP100053,2025-12-24,West,Road,Standard,88.66,323,6.84,8.43,1.59,501.15,265.98,48.34,821.46,Normal,Low,No,4.6
SHP100054,2025-07-02,East,Rail,Express,40.55,511,6.48,5.65,-0.83,238.29,121.65,33.01,316.63,Normal,Medium,Yes,5.0
SHP100055,2025-06-11,West,Road,Standard,74.39,228,5.14,4.87,-0.27,296.82,223.17,31.83,592.87,Adverse,Low,Yes,4.9
SHP100056,2025-03-11,North,Road,Express,47.62,327,7.38,7.59,0.21,272.51,142.86,16.9,432.29,Normal,Low,Yes,5.0
SHP100057,2025-03-01,North,Road,Express,63.17,703,13.77,15.43,1.66,777.15,189.51,96.76,1007.6,Normal,High,No,4.2
SHP100058,2025-06-28,North,Road,Express,26.55,736,14.55,14.99,0.44,341.96,79.65,23.91,467.53,Normal,Medium,Yes,4.9
SHP100059,2025-03-18,South,Rail,Standard,55.55,769,9.58,10.46,0.88,491.26,166.65,64.38,779.41,Normal,Medium,No,4.1
SHP100060,2025-02-04,South,Road,Bulk,7.83,651,12.86,12.65,-0.21,89.2,31.32,6.7,100.0,Normal,Medium,Yes,5.0
SHP100061,2025-01-16,South,Air,Bulk,97.89,444,1.19,4.19,3.0,2086.23,391.56,190.04,2660.47,Adverse,High,No,4.0
SHP100062,2025-10-21,West,Road,Express,79.67,631,12.43,12.93,0.5,879.76,239.01,113.06,1213.81,Normal,Medium,Yes,5.0
SHP100063,2025-06-20,South,Road,Express,30.16,511,10.55,12.36,1.81,269.71,90.48,39.34,372.57,Normal,Medium,No,3.6
SHP100064,2025-02-01,South,Road,Express,124.86,266,6.18,7.03,0.85,581.22,374.58,54.3,979.46,Normal,Medium,No,5.0
SHP100065,2025-09-20,East,Road,Standard,94.72,425,8.92,10.61,1.69,704.48,284.16,94.86,1060.87,Normal,High,No,3.8
SHP100066,2025-08-03,North,Road,Standard,27.27,1060,20.48,20.82,0.34,505.86,81.81,39.04,605.97,Normal,High,Yes,4.8
SHP100067,2025-02-15,West,Road,Standard,39.07,1557,29.62,31.16,1.54,1064.56,117.21,141.21,1310.5,Normal,High,No,3.6
SHP100068,2025-07-08,North,Rail,Express,28.16,930,11.06,10.11,-0.95,301.17,84.48,35.89,406.53,Normal,Low,Yes,5.0
SHP100069,2025-10-01,West,Road,Express,64.12,1519,29.04,30.45,1.41,1704.47,192.36,131.84,2055.31,Normal,Low,No,3.9
SHP100070,2025-03-12,West,Rail,Standard,38.11,681,8.71,9.61,0.9,298.46,114.33,26.03,462.34,Adverse,Low,No,4.4
SHP100071,2025-10-23,North,Air,Bulk,15.88,1695,2.78,3.67,0.89,1292.0,63.52,92.84,1394.69,Adverse,Low,No,4.6
SHP100072,2025-03-29,North,Air,Bulk,51.01,2012,3.94,4.26,0.32,4926.34,204.04,465.38,5574.98,Normal,High,Yes,5.0
SHP100073,2025-11-30,West,Road,Fragile,85.08,251,5.69,6.46,0.77,373.71,595.56,29.27,1042.32,Normal,Low,No,5.0
SHP100074,2025-09-18,East,Road,Express,56.18,734,15.04,16.5,1.46,721.63,168.54,85.12,985.59,Adverse,Low,No,3.3
SHP100075,2025-07-01,West,Road,Bulk,70.81,682,13.53,15.04,1.51,845.12,283.24,126.35,1266.41,Normal,Low,No,4.6
SHP100076,2025-12-08,West,Road,Standard,59.12,515,10.74,11.36,0.62,532.82,177.36,32.55,751.09,Normal,Low,No,4.8
SHP100077,2025-01-22,North,Sea,Fragile,77.91,852,26.02,26.94,0.92,564.22,545.37,61.32,1161.76,Adverse,Low,No,4.3
SHP100078,2025-03-15,South,Road,Standard,62.0,665,13.19,15.09,1.9,721.52,186.0,80.54,986.63,Normal,High,No,3.7
SHP100079,2025-03-31,North,Road,Fragile,49.48,434,9.11,9.22,0.11,375.8,346.36,53.47,761.49,Normal,Medium,Yes,4.9
SHP100080,2025-12-01,West,Rail,Standard,55.8,641,8.28,7.71,-0.57,411.33,167.4,43.41,652.09,Normal,Low,Yes,5.0
SHP100081,2025-06-15,East,Air,Bulk,112.79,1261,2.26,3.05,0.79,6826.95,451.16,743.68,8007.98,Normal,Medium,No,4.8
SHP100082,2025-08-22,South,Rail,Bulk,72.96,719,8.68,8.47,-0.21,603.27,291.84,61.8,952.96,Normal,Medium,Yes,5.0
SHP100083,2025-05-09,North,Road,Standard,30.1,918,17.6,18.45,0.85,483.56,90.3,40.72,640.31,Normal,Low,No,3.5
